CC	PC	SC	MeanDecreaseAccuracy	MeanDecreaseGini
Corynebacterium	0.000583333333333333	0.01575	0.011	0.00781468253968254	0.270991579335697
Pelosinus	0.000533333333333333	-0.000333333333333333	0	-4.76190476190476e-05	0.0178532679738562
Rheinheimera	5e-04	0	-0.000666666666666667	-0.000142857142857143	0.0139051948051948
Streptophyta	5e-04	-0.001	5e-04	0.000233333333333333	0.027556698203757
Glycomyces	5e-04	0	-0.000333333333333333	0	0.0109419080919081
Kocuria	5e-04	0.00183333333333333	0.000666666666666667	0.000666666666666667	0.047787479840421
Trichococcus	5e-04	0.0035	0.00116666666666667	0.0011047619047619	0.0750455436720142
Zhihengliuella	5e-04	0	-0.00025	0.000125	0.0213836771072065
Helicobacter	5e-04	-0.000166666666666667	-0.00125	-0.000327380952380952	0.0276319667260844
Pigmentiphaga	5e-04	0	-5e-04	0.000107142857142857	0.00678095238095238
Staphylococcus	0.000333333333333333	-0.001	0.000166666666666667	-2.61904761904762e-05	0.0561487205604853
Herbiconiux	0.000333333333333333	-0.000333333333333333	-0.001	-0.000166666666666667	0.0227659578983108
Methylobacterium	0.000333333333333333	-0.00175	0.002	-0.000393253968253968	0.105524834642482
Leucobacter	0.00025	-0.001	-0.000333333333333333	-0.00050952380952381	0.0388957431457432
Bacteroides	0.000166666666666667	5e-04	0.00641666666666667	0.00120833333333333	0.131387851037851
Propionibacterium	0.000166666666666667	-0.000833333333333333	-0.00025	-0.000428571428571429	0.0227481325863679
Aeromicrobium	0.000166666666666667	0.00233333333333333	0	0.000797619047619048	0.043027057256469
Pantoea	1.11022302462516e-19	-0.000666666666666667	-0.000916666666666667	-0.000775	0.0749445920092979
Georgenia	0	-0.000333333333333333	0	-0.000142857142857143	0.0128010558069382
Cohnella	0	0	0	0	0.00119047619047619
Asticcacaulis	0	-0.000333333333333333	0	-2e-04	0.00326666666666667
Bosea	0	-0.00025	0.001	0.000333333333333333	0.0203983660130719
Saccharibacteria_genera_incertae_sedis	0	0.001	0.000666666666666667	0.00045	0.0272403586609469
Sedimentibacter	0	0	0	0	0
Sphingopyxis	0	0	0	0	0.00491111111111111
Herbaspirillum	0	0	0	0	0.0125419913419913
Variovorax	0	0.000333333333333333	0.001	0.000467857142857143	0.0230660669395964
