Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	All
Buttiauxella	0.153	1.82	2.15	0.00334	0.00998	0.0433	0.0134	0.0301	0.0435	0	3.1	1.08	0.0167	4.21	0.0365	10.5	23.1	1.73	7.66	0.00668	0.0599	0.167	0.0501	0.0233	0.291	0	0.986	0.00665	0.0666	0.0167	24.6	8.65	13.7	0.4
Achromobacter	0.0133	0.00332	0.0866	0	0	0.0832	0.00334	0.01	0.277	0	0.0166	0.0166	0.0568	0.0931	0.00997	0.306	0.00333	0.00666	0	0.1	0.0166	0	0.0267	0.00666	0.00334	0	0.00996	0	2.53	0.01	0.0133	0.00665	0.00332	0.4
Streptomyces	0.0498	0.133	0	0.01	0.0998	0.00666	0	0.247	0.01	0	0.0863	0	0	0.00333	0.00997	0.0133	0	0.00666	0.00665	0.0167	0.00333	0.01	0.0134	0.00999	0.16	0.0234	0.0166	0	0.00333	0.00333	0	0	0.0166	0.4
Roseomonas	0	0.00332	0	0	0	0.0566	0	0.0301	0.0836	0	0	0	0	0.0266	0.00664	0.00332	0	0	0	0	0	0	0.0267	0.0133	0	0.0334	0	0.00665	0	0.00333	0	0	0	0.4
Corynebacterium	0.00332	0.136	0	0.01	0.0399	0.00666	0	0.0367	0.00334	0.00334	0.159	0.00333	0	0	0.00997	0.0199	0.0167	0.02	0.0632	0	0	0.0502	0	0.00333	0.00334	0	0.00332	0.00665	0.00999	0.00666	0.0133	0.00998	0.093	0.4
Azospirillum	0	0.00997	0.0333	0	0	2.35	0.00334	0.0134	1.1	0	0	0.0133	0	1.1	0	0.00997	0	0	0	0	0	0.00334	0	0.00333	0	0	0	0.00332	0	0	0	0	0	0.4
Georgenia	0	0.0764	0.00333	0	0.0133	0.00333	0	0.0501	0.00334	0	0.156	0.00998	0	0.00333	0	0	0	0	0	0	0	0	0	0.00333	0	0	0.0332	0	0	0	0	0	0	0.3
Dietzia	0.00664	0.0266	0.00666	0	0.00333	0	0	0.0234	0	0.0234	0.0863	0	0	0.00998	0.0565	0.0133	0	0	0	0	0	0	0.00334	0	0.01	0.00334	0.00996	0.00332	0.00333	0	0.00665	0.00333	0.0133	0.3
Halomonas	0	0	0	0	0	0	0.00668	0	0	0	0.00332	0	0	0	0.0199	0	0.02	0	0	0	0	0	1.88	0.00666	0	0	0	0	0	0.00333	0.00333	0	0	0.3
Leucobacter	0.00332	0.0465	0.0167	0	0.02	0.0366	0	0	0.0267	0.00334	0.0465	0.00998	0.0167	0.0965	0.00664	0.0332	0.00333	0.00666	0.00998	0.0401	0.609	0.01	0	0.00333	0	0.0868	0.0133	0.0366	0	0.03	0	0.00998	0.0332	0.3
Luteimonas	0.0299	0.0266	0	0	0	0	0	0.0902	0.00669	0.0201	0.123	0	0.02	0.0133	0.113	0.0299	0	0	0	0	0.00665	0	0.0167	0.00666	0	0.00334	0	0	0	0	0.00333	0	0	0.3
Cohnella	0	0.00332	0.00333	0	0	0.00666	0	0	6.72	0	0	0.00333	0	0	0	0.00332	0	0	0	0	0	0	0	0	0	0	0	0.00332	0	0	0	0	0	0.3
Erwinia	0.00332	0.116	0.0167	0	0	0	0	0	0	0.00334	0.186	0.0166	0	0.00998	0	0.0199	0.00333	0.02	0.0831	0	0.0399	0.0468	0	0	0.0201	0	0.0232	0	0	0	0.02	0.333	0.00996	0.3
Asticcacaulis	0	0	0	0	0	0	0	0	0.548	0	0.00664	0	0.00334	0	0.0133	0.0798	0	0	0.00333	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.00332	0.3
Bacteroides	0.0199	0.00332	0.0633	0.0401	0.0133	0.0433	0	0.0534	0.0468	0.0234	0.0465	0.0599	0.00668	0.0399	0.0532	0.0432	0.0233	0.0167	0.0133	0.03	0.00998	0.00334	0.0368	0.0733	0	0.0167	0.00332	0.00332	0.0533	0.0366	0.0432	0.0233	0.0232	0.3
Bosea	0.0332	0.0864	0.0233	0.0669	0.0233	0.00333	0	0.0134	0.117	0	0.00996	0	0.0134	0.00333	0	0.0166	0	0	0	0	0.0333	0	0	0.00333	0	0	0	0.00332	0.00333	0.00333	0	0	0	0.3
Saccharibacteria_genera_incertae_sedis	0	0	0.00333	0	0	0	0	0	0.00334	0	0.00332	0	0	0	0	0.00332	0	0	0	0	0	0	0.201	0.00999	0	0	0	0.0897	0	0	0	0.00333	0	0.3
Yersinia	0.00664	0	0	0.00669	0.00333	0	0.00334	0.0434	0	0.104	0	0.00333	0	0	0.00664	0	0.0133	0.0167	0.00665	0	0	0.00334	0	0.00333	0	0	0	0.00332	0	0.00333	0.263	14	0.13	0.3
Sedimentibacter	0	0	1.79	0	0	0	0	0	0	0	0	0.536	0	0.00333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Sanguibacter	0.0864	0.0631	0.0167	0	0.0166	0.0133	0	0	0.00669	0.0535	0.0963	0.0433	0.177	0.506	0.0432	0.00332	0.26	3.27	1.87	0	2.63	0.237	0.214	0.303	0.642	0.621	4.64	4.83	0.00333	0.00333	0.146	0.259	0.226	0.3
Planomicrobium	0.0332	0.00665	0	0.00334	0.00998	0	0.434	2.69	0.00669	6.15	0.0697	0	0.0334	0.00333	0.0266	0	0	0	0.00333	0	0.00333	0	0.795	0.02	1.07	0.01	0.0133	0	0	0.00333	0	0	0	0.3
Cellulomonas	0.00664	0.00332	0.00333	0.00334	0.00333	0.00999	0	0.01	0.00334	0	0.0199	0.123	0	0.123	0	0.0266	0	0.00333	0.00333	0.00668	0.0166	0	0.01	0.00333	0	0.01	0.618	0.00665	0	0	0	0	0	0.3
Sphingobium	0.00664	0.00665	0.0167	0	0.00333	0.107	0.01	0.117	0.0468	0.00334	0.00996	0.00333	5.92	0.00333	0.0332	0	0.00333	0.00333	0.00333	0	14.7	0.00334	3.8	0.779	0.0134	4.86	0.00996	0.0332	0.376	0.0833	0	0.00665	0.00332	0.2
Sphingopyxis	0.0166	0.0366	0.00666	0	0	0.0133	0	0.0234	0.665	0	0.00332	0	0.214	0.00665	0.00997	0.0499	0	0	0	0	0	0	0.00668	0	0	0	0	0	0	0.00333	0	0	0	0.2
Herbaspirillum	0	0.00997	0.0466	0	0	0	0	0	0.0201	0	0	0.00333	0	0.23	0.00332	0.0499	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333	0	0	0	0.2
Shinella	0.0565	0.0199	0.0133	0	0	0.00999	0	0	0.12	0.00334	0	0	0.01	0	0.0199	0.00997	0	0	0	0	0	0	0.00334	0.00333	0	0.274	0.00332	0.00332	0	0	0	0	0.00332	0.2
Streptophyta	0	0.00332	0.00333	0.01	0.0433	0.00333	0.0234	0.14	0.0301	0	0.0631	0.00333	0.0134	0.00333	0.00997	0.00665	0	0	0	0	0.00333	0	0.01	0	0	0.00334	0.00332	0	0	0	0.00333	0.00333	0.0199	0.2
Variovorax	0	0.00665	0.00333	0	0	0.00333	0	0	0.0535	0.00334	0.00996	0	0.0735	0	0.0897	0.00665	0	0	0	0	0.0166	0	0.00668	0	0	0.00334	0.00332	0	0.05	0.0167	0	0	0	0.2
Ochrobactrum	0.781	0.0698	0.03	0.00669	0.0166	0.336	0.104	0.601	0.993	0.00334	0.0564	0.0399	0.0267	0.00998	0.0365	0.0332	0.00666	0	0	0.02	0.0333	0	0.0334	0.0133	0.00669	0.0835	0.00332	0.00997	0.00666	0.04	0.00998	0.0166	0.0266	0.2
Glycomyces	0	0.00665	0.00333	0	0.266	0.00999	0	0.104	0.01	0	0.00996	0	0	0	0	0.0166	0	0	0	0	0	0	0	0	0	0	0.00664	0	0	0	0	0.00333	0	0.2
Phenylobacterium	0.0233	0.0831	0	0	0	0.00999	0	0	0.371	0	0	0	0.0134	0	0.00997	0.0332	0	0	0.00333	0	0	0	0.1	0.00333	0	0.01	0	0	0	0.00666	0	0.00333	0.00664	0.2
Mesorhizobium	0.00664	0.0266	0.00333	0.0334	0.00998	0	0.0267	0.417	0.234	0	0.00664	0.00333	0.00334	0	0.0166	0.00665	0	0	0.00665	0.00668	0.00333	0	0.0234	0.00999	0	0.0301	0	0	0	0	0.00665	0.00333	0.00332	0.2
Luteolibacter	0.00332	0.00332	0	0	0	0	0	0	0.247	0	0	0	0	0	0.00997	0.00665	0	0	0	0	0	0	0	0.00333	0	0	0.00332	0	0	0	0	0	0	0.2
Raoultella	0	0	0.0133	0	0.00665	0	0	0	0	0	0.00664	0.0166	0	0.0466	0.00332	0.0532	0.00666	0.0733	0	0	0.00333	0.00334	0	0.00333	0	0	0	0	0	0	0.382	0.605	0.0299	0.2
