Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
Moheibacter	5	6	0	0	0	0	0	0	380	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mucilaginibacter	0	0	35	0	0	16	0	0	116	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mycobacterium	5	16	1	0	3	2	1	76	7	0	5	4	1	1	3	24	0	0	0	0	0	0	11	2	1	5	5	1	0	0	3	1	7
Myxococcus	4	6	3	0	0	0	1	0	0	0	0	0	1	1	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
Nesterenkonia	0	4	0	3	9	0	1	3	0	3	14	0	2	0	3	0	0	0	0	0	1	3	10	0	10	0	2	0	0	0	0	0	0
Nocardia	3911	774	244	15081	750	339	393	713	2131	25	21	148	35	672	595	153	10	17	44	12	39	17	119	1353	70	171	53	168	136	75	31	42	43
Nocardioides	0	1	0	0	0	0	0	11	29	0	0	0	0	0	250	21	0	0	0	1	0	0	0	0	1	0	3	8	0	0	0	0	0
Nocardiopsis	8	1278	66	6	386	33	0	2536	359	1	1336	74	18	135	6	4181	0	1	14	1	0	4	1	3	17	1	25	10	0	1	5	3	145
Novosphingobium	2	3	0	14	0	9	10	7	212	1	12	0	14	1	0	0	0	0	1	0	2	3	649	1	1	1166	1	1	1	41	0	1	1
Nubsella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	25	0	0	5	0	0	0	0
Ochrobactrum	459	40	12	4	9	103	68	388	621	4	33	19	19	4	20	18	2	0	0	13	16	2	22	7	5	54	1	5	3	18	5	8	16
Paenibacillus	79	29	648	3	374	327	42	215	1150	717	45	399	12	327	254	16	647	838	412	23	5	106	183	13	103	1998	2621	175	0	4	440	5035	9
Pantoea	22	481	84	5	40	73	34	28	99	225	232	84	10	120	40	103	189	46	120	0	67	9	1	1	5	367	34	7	0	0	977	776	308
Paracoccus	4	18	2	5	14	1	12	29	31	8	44	9	0	5	45	9	0	0	0	0	7	0	48	3	8	3	2	3	0	0	0	0	9
Parapedobacter	0	0	0	1	0	0	0	0	2	0	3	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Parasutterella	0	6	0	0	0	0	2	6	5	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	2	1	0	2	0	0	0	0	0
Pectobacterium	0	0	0	0	2	0	0	1	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0
Pedobacter	66	53	496	4	1	85	6	7	5599	207	16	2352	5256	640	1109	66	0	50	5	0	3290	1	2747	997	27	3164	250	33	0	685	9	10	5
Pelagibacterium	1	5	0	3	57	3	1	4	2	9	12	1	4	0	5	13	0	0	0	0	2	0	9	0	0	3	1	0	0	0	1	2	2
Pelosinus	0	0	37	0	0	1	0	0	0	1	0	14	1	16	0	0	1570	744	0	1	0	0	8	1	0	0	274	0	0	1	117	1	0
Peredibacter	0	0	0	0	0	0	0	0	238	0	0	0	13	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phenylobacterium	14	47	0	0	0	3	0	1	230	0	0	0	9	0	6	18	0	0	1	0	0	0	64	1	0	6	0	0	0	3	0	1	2
Pigmentiphaga	0	0	0	0	0	1	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	5	0	0	0	0
Planococcaceae_incertae_sedis	0	1	0	0	220	2	0	5	12	92	14	0	0	2	5	1	0	0	0	0	0	0	1	0	2	0	1	29	0	0	0	0	0
Planococcus	47	9	0	43	14	0	58	103	12	349	86	0	193	0	54	0	0	0	1	1	7	3	176	3	494	1	7	3	0	0	0	0	0
Planomicrobium	18	2	0	2	6	0	286	1743	6	3713	39	0	23	1	14	0	0	0	1	0	1	1	507	10	674	6	5	0	0	1	0	0	0
