names,G1CA,G1CB,G1CC,G1IA,G1IB,G1IC,G1P1A,G1P1B,G1P1C,G1P2A,G1P2B,G1P2C,G1SA,G1SC,G1STA,G1STC,G2CA,G2CB,G2CC,G2IA,G2IB,G2IC,G2P1A,G2P1B,G2P1C,G2P2A,G2P2B,G2P2C,G2SA,G2SC,G2STA,G2STB,G2STC
Oral,4.46E-05,3.25E-06,2.44E-05,2.31E-06,0.000516417,4.97E-05,4.94E-06,3.26E-48,0.002180564,0.029135888,3.49E-46,8.41E-33,0.027624972,0.000529947,0.009879862,8.40E-09,0.026866132,0.021615588,0.000242533,1.05E-09,0.006469575,7.49E-08,0.009089757,5.29E-06,8.54E-11,0.01513734,0.417187727,1.07E-12,0.000660091,5.95E-16,2.60E-06,2.71E-12,5.67E-25
Oral,2.44E-05,0.00026595,0.001819595,0.034939332,0.000489114,7.61E-07,5.87E-06,1.30E-20,0.01488089,0.00011609,1.31E-05,6.75E-21,3.37E-18,0.000180278,0.001156571,0.009627872,0.006936054,0.000280374,0.000297556,6.71E-05,9.59E-07,1.05E-10,0.004524043,1.04E-05,2.48E-14,8.57E-17,2.18E-15,2.27E-14,3.51E-15,1.56E-17,0.00039433,7.75E-15,0.007377468
Oral,8.93E-06,0.001402344,0.00041469,2.30E-08,1.49E-06,0.015463247,7.45E-06,8.52E-62,2.01E-05,0.000127396,4.20E-06,1.86E-17,3.67E-23,0.000389014,1.44E-07,0.018162502,0.097520813,0.004066002,0.036644486,1.43E-08,8.41E-09,1.73E-08,0.000315287,1.39E-05,3.12E-11,0.000163972,0.005242246,1.81E-13,4.20E-10,1.39E-17,0.162674487,2.97E-05,7.48E-06
Oral,1.18E-05,0.000109701,0.000492406,2.44E-07,6.95E-05,9.70E-08,2.47E-05,1.86E-45,2.97E-05,0.005655296,3.67E-57,4.94E-27,0.175441092,2.34E-05,0.000110895,1.70E-08,0.016246921,0.026668686,0.000698746,3.78E-11,2.27E-06,6.48E-07,0.05645011,6.56E-05,1.50E-10,1.90E-05,5.87E-06,2.86E-10,6.44E-05,4.82E-12,0.000170525,2.25E-11,3.41E-30
Oral,0.000217276,0.00209092,0.000591039,1.77E-05,1.80E-05,6.83E-06,4.77E-05,1.44E-58,0.013648625,0.003209321,4.54E-13,6.66E-08,1.58E-11,4.07E-05,1.47E-07,5.35E-05,1.28E-05,0.00029137,6.56E-06,6.08E-07,4.09E-10,7.55E-11,0.055290369,0.000612805,5.68E-08,6.07E-08,1.35E-12,9.31E-09,2.62E-10,5.51E-10,0.269415031,8.83E-07,2.46E-12
Oral,0.000214489,0.000682968,0.000345115,2.19E-06,0.000133415,6.00E-05,1.15E-08,1.30E-67,4.60E-05,0.001035071,9.35E-39,2.90E-25,2.86E-12,0.007763839,4.03E-06,4.96E-06,0.015429907,0.003514719,0.000749467,2.43E-11,3.34E-06,4.93E-06,1.31E-06,4.41E-09,5.76E-07,4.60E-10,9.47E-05,1.46E-11,1.97E-06,6.97E-12,4.86E-06,2.16E-09,1.08E-23
Oral,0.000814114,0.01604622,0.000113808,1.18E-05,0.000132148,2.36E-05,2.52E-05,5.01E-16,5.72E-05,5.11E-05,0.007224355,9.05E-26,1.21E-27,1.53E-05,3.66E-06,0.003224962,2.35E-05,0.004342358,2.09E-05,8.11E-12,0.010058623,5.65E-09,0.017681699,1.10E-06,4.76E-11,2.09E-15,0.004474335,4.56E-07,7.64E-10,8.33E-11,0.023609932,0.000414621,3.75E-25
Oral,0.000203463,0.000299698,0.000315324,6.65E-08,3.98E-05,0.001072998,1.45E-09,9.70E-82,6.31E-05,0.003826821,8.41E-26,1.04E-30,5.25E-10,0.001898539,0.000205527,0.002887471,0.159073141,0.009349516,0.001800202,1.17E-13,3.93E-08,5.19E-05,0.001216382,3.49E-13,9.25E-09,4.46E-09,4.78E-06,1.07E-10,9.07E-07,6.15E-11,0.026815356,9.74E-06,5.50E-16
Oral,6.00E-06,0.025792506,0.457520515,0.000144863,0.00093809,0.012521015,2.77E-09,0.004012325,2.84E-05,3.30E-06,1.08E-13,0.321296428,1.99E-38,0.069684975,8.78E-10,4.40E-05,3.39E-06,6.35E-05,0.001437088,8.01E-06,5.60E-17,0.000110579,0.000602814,7.21E-06,1.23E-08,0.000167908,1.38E-15,3.69E-05,4.49E-06,9.63E-14,0.003413106,2.53E-16,2.21E-16
Oral,0.09982381,0.002235008,0.012040617,0.000190874,0.000407078,1.24E-06,0.000195018,5.14E-24,4.95E-05,0.019439517,2.48E-33,8.24E-28,5.26E-10,8.73E-07,0.016029704,0.000108746,1.40E-06,0.000345611,0.000594809,2.70E-11,1.09E-14,0.000749979,3.53E-06,2.03E-11,0.014258545,1.22E-14,1.02E-07,0.001165929,3.90E-14,6.02E-10,3.06E-08,2.59E-05,1.24E-11
Oral,0.000176048,0.064557926,0.000912291,0.001641595,0.229033667,0.030272585,0.001594223,9.19E-09,0.050022499,0.000684929,3.08E-31,3.58E-22,2.50E-12,1.30E-06,0.020538512,0.009944462,4.25E-06,0.000507678,5.01E-07,2.37E-05,5.53E-20,1.71E-12,9.46E-05,3.32E-10,1.56E-10,8.07E-08,2.01E-13,0.000212813,2.19E-09,1.09E-09,0.000149299,3.10E-08,4.16E-21
Oral,0.041024341,0.001512125,0.000740038,0.000467406,0.000385566,9.98E-11,0.000111984,3.81E-41,4.16E-15,0.010191747,1.22E-07,5.24E-35,6.51E-14,5.81E-09,0.015873711,1.08E-08,8.59E-07,0.042346354,0.582752682,4.98E-07,1.42E-18,0.07839866,1.79E-08,4.13E-10,0.379706037,9.82E-25,1.67E-06,0.030266727,3.12E-16,1.42E-07,1.11E-14,0.262531855,6.88E-11
