Genus	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	All
Deinococcus	0	0.00369	0	0.00371	0.0185	0	0.33	0.741	0.108	0.0185	0	0	0	0	0	0	0	0	0.0185	0	0.0037	0	0.0111	0.0148	0.174	0.304	0	0.0893	0	0.0074	0	0	0.00743	0.3
Caulobacter	0	0.00369	0	0	0	0.0111	0.00371	0	0.286	0	0	0	0	0.0074	0.0701	0	0	0	0	0	0.0037	0	0	0	0	0	0	0	0.218	0	0	0	0	0.3
Cellulosilyticum	0	0	0.0148	0	0	0	0	0	0	0	0	0.0148	0	0	0	0	0	0	0	0	0	0	0.249	0.163	0	0	0	0	0	0	0	0	0	0.3
Blautia	0.0184	0.00369	0.037	0.0186	0.0037	0.0333	0	0	0.0148	0.0185	0.0371	0.0555	0.00742	0.0333	0.0148	0.0186	0.0074	0.0111	0.00739	0.0111	0.0111	0	0.026	0.0481	0	0.00371	0	0.00372	0.0148	0.0222	0.0149	0.0148	0.0111	0.3
Luteolibacter	0.00369	0.00369	0	0	0	0	0	0	0.241	0	0	0	0	0	0.0111	0.00372	0	0	0	0	0	0	0	0.0037	0	0	0	0	0	0	0	0	0	0.2
Rothia	0	0.0775	0.0296	0	0.0037	0	0	0.00371	0	0.00739	0.0371	0.0111	0.0185	0	0.00738	0.00744	0.0074	0.0148	0.0702	0	0	0.00742	0.00371	0	0.0111	0	0.00372	0.0186	0	0	0.026	0.0554	0.108	0.2
Luteimonas	0.0332	0.0221	0	0	0	0	0	0.0148	0.00742	0.0259	0.0706	0	0.0185	0.0111	0.122	0.0149	0	0	0	0	0.00739	0	0.0148	0.0074	0	0.00371	0	0	0	0	0	0	0	0.2
Clostridium_XlVb	0.00738	0	0.341	0	0	0.0037	0	0.0185	0.00742	0	0	1.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00371	0.00372	0	0	0	0	0	0	0.2
Knoellia	0.00738	0.0148	0	0.104	0.00739	0	0	0.0148	0.00371	0.0037	0.00371	0	0.00371	0	0	0	0	0	0.0037	0	0	0	0.0148	0	0.0148	0.0148	0.00372	0.00372	0	0	0	0	0	0.2
Pelagibacterium	0.00369	0.0111	0	0.00371	0.111	0.0111	0	0.00741	0.00371	0.0185	0.0186	0.0037	0.00371	0	0.0111	0.0223	0	0	0	0	0.00739	0	0.0148	0	0	0.00371	0	0	0	0	0	0.00739	0	0.2
Pelosinus	0	0	0.126	0	0	0.0037	0	0	0	0.0037	0	0.037	0	0.0333	0	0	3.62	1.87	0	0	0	0	0.0148	0.0037	0	0	0.502	0	0	0.0037	0.212	0.0037	0	0.2
Nesterenkonia	0	0.00738	0	0.00371	0.0185	0	0	0.00741	0	0.00739	0.026	0	0	0	0.00738	0	0	0	0	0	0.0037	0.00371	0.0148	0	0.0186	0	0.00372	0	0	0	0	0	0	0.2
Aminobacter	0.00738	0.00738	0	0	0.0037	0.0074	0	0	0.126	0	0.00371	0	0	0	0	0	0	0	0.0037	0	0.0037	0	0	0.0037	0	0	0	0	0	0.0037	0	0	0	0.2
Nocardia	7.27	1.47	0.641	24.9	1.43	1.25	0.594	1.1	3.54	0.0481	0.0371	0.336	0.0556	1.42	1.1	0.283	0.0222	0.0444	0.085	0.0185	0.0776	0.0297	0.189	2.91	0.115	0.278	0.0966	0.312	0.285	0.185	0.0557	0.085	0.0743	0.2
Cereibacter	0.0111	0.00738	0	0	0	0	0	0.0111	0.0223	0.0037	0	0.0037	0	0.0074	0.00369	0	0	0	0	0	0.902	0	4.41	7.47	0.00371	0.0519	0.00372	0	0	0	0.00371	0	0.00371	0.2
