ID	FR1	FR2	FR3	FR4	FR5	FR6	GR1	GR2	GR3	GR4	GR5	GR6	HR1	HR2	HR3	HR4	HR5	HR6	SR1	SR2	SR3	SR4	SR5	SR6
842	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	57	41	44	0	0	0
843	0	0	8	0	143	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	5	0	0	0
844	1	1	1	0	1	3	0	0	3	0	143	1	1	0	0	6	10	1	0	0	0	0	0	0
845	53	64	51	1	0	2	71	93	78	2	0	3	0	0	0	1	0	2	0	2	1	2	2	5
846	18	17	8	0	17	14	8	3	1	18	52	11	3	4	36	6	6	0	14	70	19	1	2	11
847	2	3	0	2	0	0	17	5	7	0	0	0	0	0	0	0	0	4	30	44	23	7	2	5
848	1	4	3	3	7	1	0	0	3	0	0	6	0	0	9	16	16	38	0	0	0	3	12	11
849	65	83	48	0	9	0	2	0	4	1	0	1	9	6	0	2	2	0	0	0	0	2	1	3
85	61	34	95	90	222	54	55	38	157	36	29	12	37	23	8	21	47	35	108	98	156	124	110	65
850	10	10	15	2	10	0	0	0	4	4	20	6	6	1	4	12	15	7	0	1	5	11	8	5
851	2	0	1	4	11	11	40	25	16	0	2	1	3	0	16	6	5	8	5	0	1	4	3	2
852	12	12	16	7	25	3	19	14	23	15	37	10	37	27	0	31	2	9	19	47	21	9	3	17
853	0	1	2	0	14	1	11	3	4	0	66	1	0	0	2	2	0	2	9	22	6	1	0	6
854	0	7	1	0	2	0	0	0	15	4	126	1	3	0	0	1	7	2	0	0	1	0	1	2
855	1	2	8	2	17	1	13	25	1	0	5	0	3	1	0	1	0	0	0	0	5	44	38	46
856	0	1	3	8	2	12	5	3	1	0	0	2	1	1	5	2	8	2	25	49	44	2	0	2
857	0	0	0	0	0	3	2	9	0	0	0	1	0	0	0	0	0	0	36	29	19	11	9	20
858	13	15	12	7	0	0	0	4	6	0	0	0	1	4	0	3	1	5	0	31	3	11	3	11
859	2	10	5	0	10	6	13	0	1	24	35	10	0	1	0	3	0	1	7	5	8	4	0	2
860	0	1	0	6	0	5	3	7	6	50	11	0	1	1	23	5	24	2	0	1	8	2	10	0
862	0	0	0	2	11	4	0	0	0	52	9	0	1	0	9	3	5	18	0	0	0	16	20	20
863	1	0	2	0	1	1	1	1	3	0	6	0	2	0	0	0	0	0	31	35	53	0	1	0
864	2	7	0	0	1	0	13	14	59	1	0	0	1	2	0	0	0	0	0	0	1	22	4	7
865	1	9	2	2	14	3	4	21	26	2	24	6	1	1	36	18	15	17	0	1	3	6	3	5
866	4	4	2	0	0	0	0	1	2	0	0	0	0	0	5	1	0	2	29	27	58	4	1	0
867	9	0	3	10	15	2	4	17	12	12	0	5	0	0	0	20	9	6	11	0	2	10	14	10
868	2	2	6	0	7	3	0	0	0	0	1	0	0	0	1	5	2	1	6	9	6	48	68	43
869	0	0	0	4	3	2	0	0	1	11	1	26	13	18	9	11	17	11	13	0	0	2	8	3
87	23	39	43	72	104	139	56	23	16	143	1	150	70	51	192	148	197	202	47	47	57	38	25	55
870	0	0	1	5	2	8	0	0	2	0	0	0	0	0	0	0	1	1	13	0	6	34	50	43
872	29	22	10	2	0	10	13	3	0	1	0	10	3	1	7	5	6	5	8	0	5	7	15	8
873	26	1	8	1	13	2	42	22	7	0	15	1	1	0	1	0	2	1	14	17	3	2	1	4
874	34	28	31	0	2	0	0	3	6	0	0	4	6	8	7	0	0	2	8	5	10	7	4	6
875	20	26	6	0	8	3	22	7	1	7	12	4	1	1	21	2	1	0	19	8	4	1	0	10
876	39	39	10	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	14	16
877	17	8	21	2	24	7	16	9	7	2	4	0	3	2	0	0	1	0	3	29	15	5	8	20
878	75	32	52	44	34	51	3	4	0	42	0	62	164	151	65	88	119	112	16	34	36	9	4	12
879	0	6	2	2	54	17	0	1	0	7	28	12	0	0	0	1	3	2	1	0	0	0	2	0
88	5	6	12	0	4	0	41	38	51	0	4	0	7	9	0	0	0	0	415	542	544	2	3	2
880	0	1	2	26	6	8	7	21	7	0	0	1	0	0	16	3	2	4	5	5	4	4	16	21
881	0	0	0	17	0	39	0	0	0	0	0	0	3	1	0	1	3	7	0	58	0	0	0	0
882	20	2	15	1	11	2	9	19	10	8	0	3	15	14	5	16	8	5	0	0	1	7	3	0
883	0	5	10	11	14	18	0	11	5	4	8	0	3	4	7	11	14	17	0	11	0	2	4	2
884	0	3	7	21	10	29	3	9	18	0	0	1	0	0	0	1	16	3	0	8	1	2	3	4
885	0	0	0	0	0	1	13	5	16	0	20	0	0	0	0	0	0	0	14	26	53	1	3	1
886	6	2	2	8	0	10	7	5	0	0	0	1	0	0	0	16	16	40	0	0	4	7	2	10
887	1	11	9	2	1	5	17	10	37	4	1	3	0	0	0	9	6	2	3	6	9	20	16	15
888	17	8	12	4	0	6	46	67	2	4	0	2	2	1	0	5	2	5	7	2	3	1	5	2
889	0	9	8	2	25	5	0	0	5	20	0	10	1	0	14	28	16	20	0	0	0	5	1	2
89	2	1	2	1	0	0	0	1	152	6	1497	1	2	0	0	0	0	0	0	0	1	0	0	0
890	0	5	3	18	6	5	45	9	14	0	0	4	6	2	0	0	2	2	8	0	0	2	1	5
891	0	3	7	10	14	5	4	0	6	7	0	1	5	2	0	10	14	13	12	10	10	27	39	29
892	2	0	6	3	35	6	10	3	7	21	11	19	1	0	5	6	3	7	1	0	6	2	3	1
893	0	0	0	0	0	0	0	0	6	1	112	0	0	0	0	0	0	0	0	0	0	0	0	0
894	0	0	0	1	0	0	0	0	5	1	0	0	4	0	0	0	0	0	46	8	68	5	1	5
895	8	10	4	0	0	2	8	14	52	0	0	5	11	7	3	0	0	0	0	0	0	0	0	1
896	6	3	7	2	6	2	23	31	25	3	1	4	4	8	12	24	28	24	0	0	3	2	2	3
897	3	0	0	50	0	16	0	0	0	0	0	17	0	0	12	5	11	2	0	0	0	0	0	0
898	0	0	2	1	6	3	1	28	0	1	0	1	0	0	0	2	2	5	24	31	13	5	7	11
9	43	59	324	236	1355	248	352	272	157	742	542	680	85	85	79	87	70	78	385	484	576	1241	1117	1181
90	44	24	47	23	2	20	93	63	31	15	0	26	0	0	49	54	45	58	57	53	64	273	249	325
900	0	0	0	1	18	4	0	0	3	1	46	4	0	0	17	10	17	9	0	0	0	1	1	0
901	5	0	0	0	0	1	22	14	0	1	3	4	1	1	1	2	2	5	10	20	19	17	10	9
902	14	19	12	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	4	89	4
903	3	5	2	21	8	1	0	0	0	5	0	37	0	0	0	2	8	2	5	0	0	5	3	2
904	5	0	2	0	17	11	13	11	0	2	14	10	0	0	2	6	0	4	38	23	10	2	1	0
905	8	3	21	2	3	2	6	3	6	0	6	1	21	14	3	9	11	12	0	7	10	4	2	1
906	52	14	42	4	0	2	0	1	3	0	2	0	0	1	0	0	1	0	0	0	0	4	6	1
907	27	19	10	2	0	5	12	18	0	18	4	2	1	1	0	3	3	2	0	0	1	1	1	2
908	1	5	1	5	0	5	8	1	7	12	0	10	54	37	10	8	10	8	1	0	1	5	5	9
909	0	4	2	0	7	1	12	8	1	18	0	10	0	0	17	15	11	13	4	0	1	0	1	2
91	162	185	122	12	146	156	92	47	29	123	2	152	102	84	40	39	44	38	0	0	1	7	5	11
910	0	0	6	2	3	10	0	0	0	7	15	0	1	3	28	26	17	30	0	0	0	1	1	8
911	15	12	7	12	0	11	18	36	14	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1
912	12	2	11	14	0	19	29	8	18	0	3	0	1	1	0	0	2	1	0	6	2	1	0	0
913	2	0	10	3	8	0	30	19	3	2	0	0	0	0	0	0	0	2	0	0	14	23	10	7
914	0	2	3	0	6	0	34	31	29	0	0	0	9	12	0	2	0	0	16	0	15	10	3	11
915	0	0	8	11	0	7	4	3	35	0	0	0	7	7	0	0	1	0	15	17	13	2	2	2
916	6	9	4	1	23	5	3	4	0	0	0	7	1	1	1	0	3	4	5	2	0	24	59	46
917	5	0	7	29	8	8	0	0	0	0	0	4	4	2	0	9	16	4	5	0	2	4	5	17
918	2	6	2	0	0	0	56	42	20	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
919	3	6	7	0	14	2	4	11	0	12	25	3	0	0	0	2	2	2	8	13	0	2	3	7
92	14	6	8	2	5	2	67	104	138	8	1	0	0	1	0	2	2	2	426	393	520	2	4	0
920	1	0	3	12	5	8	2	0	5	8	0	1	1	2	15	9	8	7	0	0	0	15	32	9
