ID	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC
1087	1	0	0	6	0	0	2	0	0	1	1	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1088	0	0	0	0	1	0	1	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
1089	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
1090	0	0	1	0	1	2	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1091	0	0	0	0	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1092	0	0	0	0	1	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
1093	0	0	0	0	1	0	0	0	15	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1094	0	0	0	0	0	0	0	0	8	0	2	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
1095	0	0	0	0	0	0	0	2	1	0	0	1	7	0	2	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
1096	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	2
1097	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	1	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0
1099	0	1	0	0	0	0	0	0	0	0	0	1	0	25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	6142	762	8	256	567	18	2965	399	29	1660	1139	15	92	25	2110	3	4	54	6	1	292	185	111	70	1060	0	235	201	0	9	2	42	0
110	1	141	1	4	1155	24	3	9	0	1	24	4	0	1	0	0	0	0	0	0	1	7	0	0	1	0	0	0	1	0	0	2	1
1100	14	9	6	0	3	58	0	0	1	1	1	7	2	1	174	4	11	3	32	0	148	1	7	20	2	1	19	19	2	2	6	2	0
1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
1102	2	0	0	0	0	1	0	0	0	0	0	9	0	0	1	0	0	5	4	0	0	0	0	10	7	3	1	0	0	3	0	0	0
1103	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	6	0	0	1	0	4	15	3	0	9	0	0	0	0	0	0
1108	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	25	0	0	0	0	0	0
111	0	0	0	0	0	0	0	0	0	1	0	0	981	0	67	0	0	1	0	0	19	0	1	5	0	0	0	0	0	27	0	0	0
1111	0	5	0	0	0	1	0	0	2	0	6	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1112	1	3	0	0	5	1	0	1	0	0	5	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1113	0	2	0	0	0	7	1	0	0	2	0	0	6	1	0	0	3	3	0	0	0	0	0	1	1	0	0	0	0	4	0	0	1
1115	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	2	0	0	0	0	0	0	0	0	0	0	1	0	1	4
1116	1	2	1	0	0	1	0	0	10	0	5	1	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
1117	0	3	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	3	0	1	0	2	0	0	0	0	0
1118	0	0	1	0	0	4	0	0	15	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1119	0	0	18	0	0	4	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	1	16	0	180	17	0	6	14	1	972	46	0	21	1	97	0	0	0	0	0	0	0	2	1	4	0	6	9	0	0	0	0	0
1120	1	2	6	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121	0	0	13	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1123	0	1	8	0	0	2	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1124	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1125	0	0	1	0	0	13	0	0	5	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
