ID	SA01	SA03	SA04	SA05	SA06	SA07	SA09	SA11	SA12	SA13	SA14	SA15	SA16	SA17	SA18	SA19	SB01	SB02	SB03	SB04	SB05	SB06	SB07	SB08	SB09	SB10	SB11	SB12	SB13	SB15	SB16	SB17	SB18	SB19	SC01	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09	SC10	SC11	SC12	SC13	SC14	SC15	SC17	SC18	SC19	SD01	SD02	SD03	SD04	SD05	SD06	SD07	SD08	SD09	SD10	SD11	SD12	SD13	SD14	SD15	SD17	SD18	SD19
715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	2	0	0	1	5	7	5	9	1	0	1	0	1	4	4	2	2	3	4	3	0	2	2	0	1	1	3	1	1	0	0	1	1	0	1	1	0	2
716	0	0	3	0	0	0	0	1	0	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	8	2	4	0	0	1	0	0	0	0	0	1	1	9	1	2	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	1	0	0	2	0	0	0	0	0	2	0	1	1	17	0	1	3	1	0	1	0	0	2	4	1	0	4	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	1	1	2	0	0	0	1	0	1	2	9	18	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	2	1	2	2	0	18	81	16	27	22	9	7	10	7	1	1	5	4	3	92	80	13	1	3	0	20	6	16	5	21	10	29	24	0	0	1	1	0	0	0	0	0	0	1	15	6	7	5	1	0	2	32	128	113	15	186	63	38	12	59	41	129	74	274	143	71	123	312	79
720	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	2	3	1	0	0	1	0	2	1	1	5	1	2	0	0	1	4	2	0	0	0	1	0	1	1	0	0	0	0	0	1	5	4	2	3	3	0	3	4	0	0	0	4	5	0	1	7	0	1
721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	7	3	2	0	1	1	3	1	2	1	0	0	0	0	1	1	2	0	0	3	3	1	0	1	3	4	0	0	3	0	2
723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	4	1	1	4	5	13	1	2	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	1	4	1	2	1	0	0	1	0	0	2	3	1	6	0	0	2	1	0	1	0	3	0	0	0	0	2	0	0	0	0	0
725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	1	0	2	5	1	0	2	1	1	0	0	1	0	0	0	0	16	0	6
