#OTU ID	G1CA	G1CB	G1CC	G1IA	G1IB	G1IC	G1P1A	G1P1B	G1P1C	G1P2A	G1P2B	G1P2C	G1SA	G1SC	G1STA	G1STC	G2CA	G2CB	G2CC	G2IA	G2IB	G2IC	G2P1A	G2P1B	G2P1C	G2P2A	G2P2B	G2P2C	G2SA	G2SC	G2STA	G2STB	G2STC	SA01	SA03	SA04	SA05	SA06	SA07	SA09	SA11	SA12	SA13	SA14	SA15	SA16	SA17	SA18	SA19	SB01	SB02	SB03	SB04	SB05	SB06	SB07	SB08	SB09	SB10	SB11	SB12	SB13	SB15	SB16	SB17	SB18	SB19	SC01	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09	SC10	SC11	SC12	SC13	SC14	SC15	SC17	SC18	SC19	SD01	SD02	SD03	SD04	SD05	SD06	SD07	SD08	SD09	SD10	SD11	SD12	SD13	SD14	SD15	SD17	SD18	SD19	FR1	FR2	FR3	FR4	FR5	FR6	GR1	GR2	GR3	GR4	GR5	GR6	HR1	HR2	HR3	HR4	HR5	HR6	SR1	SR02	SR3	SR4	SR5	SR6	F11Frhd	F24Frhd	F32Frhd	M14Frhd	M23Frhd	M32Frhd	M43Frhd	M54Frhd	M63Frhd	F13Plml	F24Plml	F31Plml	M13Plml	M23Plml	M33Plml	M43Plml	M53Plml	M63Plml	F11Indl	F21Indl	F31Indl	F32Indl	M11Indl	M12Indl	M22Indl	M31Indl	M41Indl	AR1	BB2	BF1	BP1	BZ1	CA2	CC1	CF3	CL3	CM1	CO2	CO3	CR1	DF3	GB5	HF2	HI4	HJ2	IE2	IT2	JT1	KP4	LQ2	MD5	MP2	MT1	PE1	PE7	RT1	RT2	SA1	SA2	SB1	SF1	SK1	SK3	SN1	SN3	SP1	SP2	SR2	SV1	SV2	TL3	VC2	F11Plmr	F23Plmr	F32Plmr	M11Plmr	M23Plmr	M33Plmr	M43Plmr	M53Plmr	M64Plmr	F12Indr	F21Indr	F31Indr	F32Indr	M11Indr	M21Indr	M31Indr	M41Indr	M42Indr	F11Fcsp	F11Fcsw	F12Fcsp	F12Fcsw	F13Fcsw	F14Fcsw	F21Fcsp	F21Fcsw	F22Fcsp	F22Fcsw	F23Fcsw	F24Fcsw	F31Fcsp	F31Fcsw	F32Fcsp	F32Fcsw	F33Fcsw	F34Fcsw	M11Fcsp	M11Fcsw	M12Fcsp	M12Fcsw	M13Fcsw	M14Fcsw	M21Fcsp	M21Fcsw	M22Fcsp	M22Fcsw	M23Fcsw	M24Fcsw	M31Fcsp	M31Fcsw	M32Fcsp	M32Fcsw	M33Fcsw	M41Fcsp	M41Fcsw	M42Fcsp	M42Fcsw	M43Fcsw	M44Fcsw	M53Fcsw	M54Fcsw	M63Fcsw	M64Fcsw
30	0	0	0	0	1	0	2	0	0	1	0	0	0	3	1	0	2	9	0	4425	16	0	30	43	2	688	0	23	3	12	12	1	0	1	3	13	107	12	1	2	2	4	15	13	10	21	20	8	27	2	6	4	4	72	30	15	0	3	0	42	36	43	20	102	9	5	7	5	26	103	127	322	365	3	3	92	1	35	25	65	106	24	166	56	18	23	107	303	529	462	300	283	90	50	6	6	17	15	8	29	314	60	531	13	32	26	645	55	107	1	5	20	58	0	140	28	22	193	352	488	372	33	46	68	89	64	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	1	2	1	1	2	1	769	3371	94	2	5	0	11	1	2	0	0	2	1	0	50	3	0	0	0	1	0	2	1	1	1	1	1	496	229	228	76	106	335	107	108	107	518	220	403	436	210	242	192	28	87	53	85	82	63	29	71	89	91	22	25	35	95	53	14	72	9	62	105	32	1	5	31	40	55	25	32	11	6	29	7	85	58	60	327	22	13	69	16	4	4	44	23	37	41	60	51	114	22	74	29	21	25	30	30	42	57	75	59	240	223	20	153	33	129	247	242	858	625	438	432	4	15	1	30	30	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	1	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	12	2	18	0	0	1	1	0	0	2	0	6	0	25	4	68	1	6	3	0	0	394	0	0	1194	55	1066	14	2	3	79	1911	763	356	244	22	167	45	227	128	54	19	112	35	81	152	187	199	219	48	141	8	25	123	47	24	114	63	41	69	49	80	15	69	64	32	90	28	63	33	67	43	11	238	140	47	337	13	11	22	12	91	12	5	219	30	16	45	17	77	39	52	55	18	182	254	86	203	227	118	87	38	28	211	171	270	1	2	6	285	364	826	1	1	3	10	17	0	0	1	3	269	317	555	40	26	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	12	5	14	19	5	7	6	0	1	2	1	7	20	9	6	0	2	814	10	0	3210	470	38	428	86	29	801	319	1	157	0	27	7	43	1232	1196	101	181	336	22	1	2	33	117	242	435	211	674	175	77	327	433	446	54	72	30	34	74	146	31	4	30	39	49	20	128	96	0	38	1	2	1	2	2	0	0	0	0	1	1	0	2	75	563	505	21	21	24	6	5	4	5	5	12	2	8	1	2	3	33	15	15	12	5	7	7	11	8	8	1097	1090	284	46	9	39	22	19	151	152	125	134	2	5	2	8	9	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	4	4	1	2	66	0	2997	279	48	430	1	1	2	2	61	3	0	2	1	0	7	1	3	26	8	0	5	0	0	10	0	6	3	10	17	43	58	231	2	3	19	3	14	3	9	11	66	46	105	1	7	6	2	24	16	29	1	1	0	39	6	38	4	6	8	1	3	12	50	65	76	46	140	8	1	4	0	19	6	50	16	7	7	15	2	40	60	393	62	259	496	305	356	149	14	63	29	60	41	30	35	19	262	296	349	235	45	375	36	102	60	60	371	5	385	12	17	168	205	145	158	10	10	6	95	119	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	1	484	45	0	190	29	0	1049	159	0	171	42	0	75	0	2038	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	64	239	588	265	37	141	535	514	53	51	85	140	102	22	33	131	99	493	0	0	4	19	10	24	10	35	82	489	726	10	4	4	302	158	154	505	0	0	0	10	18	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
46	1	0	3059	0	0	25	0	1	0	1	0	1157	0	708	0	12	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	5	0	0	0	0	0	1	0	0	1	18	54	47	5	4	4	2	1	1	3	2	4	24	27	13	177	1	25	1011	374	6	218	191	16	21	23	980	9	108	114	27	67	7	6	20	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	82	95	114	101	174	150	83	107	82	302	138	228	89	101	134	196	182	198	49	47	25	71	167	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	1	2	0	0	0	0	0	3	6	1	0	1	0	2	0	0	0	0	0	0	244	0	1188	2010	1	14	1	0	0	0	1	0	1	3	4	0	1	8	6	15	90	52	51	48	1	0	0	1	2	26	14	31	36	56	118	110	31	122	55	57	80	73	51	114	67	42	29	60	50	17	115	27	130	38	92	56	54	83	62	75	118	56	53	67	14	76	45	152	45	34	74	97	145	72	52	35	57	87	21	42	54	38	36	62	60	48	35	53	46	7	3	2	70	0	90	172	202	315	675	580	527	16	10	1	172	86	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	9	0	0	1	0	0	2	0	0	1	0	5	0	7	0	0	0	1	0	0	3	0	3	1	0	0	0	0	0	0	1	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	0	0	0	0	0	3	0	0	0	1	0	1	1142	1	0	1	0	0	0	0	1514	0	13	0	0	0	0	0	0	30	0	1	0	613	425	192	44	53	818	101	2	29	1	8	1	15	6	18	35	2	2	0	1	0	0	2	0	0	0	0	0	2	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	13	11	2	6	4	23	1	2	5	10	9	0	2	5	1	4	29	27	40	48	133	28	3	5	7	43	49	70	7	8	242	258	167	235	233	234	186	17	12	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
